id,term,definition,external_id,external_source,comment,curator,parent_id,level,created_at,updated_at,legacy_id
7905,Tongue,The muscular organ in the mouth used in taste perception and food ingestion. (nci).,C12422,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7906,Kidney,The organs of the urinary tract located in the retroperitoneal cavity adjacent to the spine and composed of the renal cortex and the renal medulla. (nci).,C12415,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7907,Brain stem,"The part of the brain that connects the cerebral hemispheres with the spinal cord. it consists of the mesencephalon, pons, and medulla oblongata. (nci).",C12441,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7908,Cerebrum,"The portion of the brain comprising the frontal, parietal, temporal, and occipital lobes and extending through the thalamus. (nci).",C12351,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7909,Cerebellum,The portion of the brain that extends from the brainstem through the cerebellar folia. (nci).,C12445,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7910,Spinal cord,The portion of the central nervous system that lies within the vertebral canal and from which the spinal nerves emerge. (nci).,C12464,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7911,Esophagus,The portion of the digestive tract between the pharynx and stomach. (nci).,C12389,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7912,Diencephalon,"The portion of the forebrain that is located between the telencephalon and the brainstem; it is composed of the thalamus, hypothalamus, subthalamus, and epithalamus, which functions to help regulate many activities of the autonomic nervous system. (nci).",C12456,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7913,Stomach,The portion of the gastrointestinal tract located between the esophagus and the proximal duodenum. (nci).,C12391,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-04-06 00:45:19 UTC,
7914,Intestine,The portion of the gastrointestinal tract that includes the small and large intestines.,C12736,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:28 UTC,2018-02-26 21:06:28 UTC,
7915,Colon,The portion of the large intestine which extends from the cecum (or small intestine in animals that don't have a cecum) to the rectum. (nci).,C12382,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7916,Jejunum,The portion of the small intestine between the duodenum and ileum. (nci).,C12388,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7917,Ileum,The portion of the small intestine between the jejunum and large intestine.,C12387,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-02-26 21:06:29 UTC,
7918,Duodenum,The portion of the small intestine between the stomach and jejunum. (nci).,C12263,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7919,Scrotum,The pouch that encloses the testicles. (nci).,C12785,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7920,Cecum,The pouch-like portion of the proximal large intestine opening into the colon. (nci).,C12381,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7921,Parotid gland,The salivary gland located adjacent to the ear. (nci).,C12427,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7922,Eye,The sensory organ of vision. (nci).,C12401,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7923,Rectum,The terminal portion of the large intestine extending from the terminus of the colon to the anus or anal canal. (nci).,C12390,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7924,Bone marrow,The tissue occupying the spaces of some bones. it consists of blood vessel sinuses and a network of hematopoietic cells. (nci).,C12431,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7925,Ureter,The tube that extends from each kidney to the urinary bladder. (nci).,C12416,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7926,Urethra,The tube that extends from the urinary bladder to the urethral opening. (nci).,C12417,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7927,Fallopian tube,The tube through which eggs pass from an ovary. (nci).,C12403,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7928,Nasal cavity,The upper respiratory tract extending from the nares to the pharynx. (nci).,C12424,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7929,Small intestine,The villous section of the intestine extending from the pylorus to the proximal large intestine. (nci).,C12386,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7930,Bronchus,"Tubular structure in continuation with the trachea, serving as an air passage. (nci).",C12683,NCI Thesaurus,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:19 UTC,
7931,All organs,All the organs in the body of the organism.,,,,Naama,7727,4,2018-02-26 21:06:29 UTC,2018-02-26 21:07:24 UTC,
7932,Cell membrane,A cellular compartment that separates a cellВ interiorВ from its exterior.,GO:0005904,gene ontology,,Naama,7730,4,2018-02-26 21:06:29 UTC,2018-02-26 21:06:29 UTC,
7933,Intracellular membrane,A cellular compartment that separates the matrix of subcellularВ organelles from the intermembrane space.,,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-02-26 21:06:29 UTC,
7934,Adiposome,"An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. may include associated proteins.В source:В goc:tb,goc:mah.",GO:0005811,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:20 UTC,
7935,Mitochondrial membrane,"Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope.В source:В nif subcellular:sao1045389829,В goc:mah.",GO:0031966,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:20 UTC,
7936,Golgi apparatus membrane,Intracellular membrane.,,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:20 UTC,
7937,Inner mitochondrial membrane,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. it is highly folded to form cristae.В source:В goc:ai.",GO:0005743,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:20 UTC,
7938,Actin patch,"An endocytic patch  that consists of an actin-containing structure found at the plasma membrane in cells; formed of networks of branched actin filaments that lie just beneath the plasma membrane and assemble, move, and disassemble rapidly. An example of this is the actin cortical patch found in Saccharomyces cerevisiae. (Gene Ontology).",GO:0030479,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7939,Adherens junction,A cell junction at which anchoring proteins (cadherins or integrins) extend through the plasma membrane and are attached to actin filaments. (Gene Ontology).,GO:0005912,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7940,Apical cell membrane,The region of the plasma membrane located at the apical end of the cell. (Gene Ontology).,GO:0016324,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7941,Autophagosome membrane,"The lipid bilayer surrounding an autophagosome, a double-membrane-bounded vesicle in which endogenous cellular material is sequestered. (Gene Ontology).",GO:0000421,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7942,Myelin sheath,A layer of phospholipids and protein found on neuronal axons. this structure acts as an electrical insulator that allows nerve impulses to travel faster by increasing the resistance and decreasing the capacitance over that found in unmyelinated nerve fibers. (nci).,,NCI Thesaurus,,Naama,7730,4,2018-02-26 21:06:29 UTC,2018-04-06 00:45:20 UTC,
7943,Axon,A projection of a neuron that conducts electrical impulses away from the neuronal cell body.,C32177,,,Naama,7730,4,2018-02-26 21:06:29 UTC,2018-02-26 21:07:23 UTC,
7944,Basement membrane,A thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers. (Gene Ontology).,GO:0005604,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7945,Basolateral cell membrane,,,gene ontology,,Yannick,7730,4,2018-02-26 21:06:29 UTC,2018-02-26 21:06:29 UTC,
7946,Cajal body,"A class of nuclear body, first seen after silver staining by Ramon y Cajal in 1903, enriched in small nuclear ribonucleoproteins, and certain general RNA polymerase II transcription factors; ultrastructurally, they appear as a tangle of coiled, electron-dense threads roughly 0.5 micrometers in diameter; involved in aspects of snRNP biogenesis; the protein coilin serves as a marker for Cajal bodies. Some argue that Cajal bodies are the sites for preassembly of transcriptosomes, unitary particles involved in transcription and processing of RNA. (Gene Ontology).",GO:0015030,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7947,Caveola,"A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis.  Caveolae may be pinched off to form free vesicles within the cytoplasm. (Gene Ontology).",GO:0005901,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7948,Cell envelope,"An envelope that surrounds a bacterial cell and includes the cytoplasmic membrane and everything external, encompassing the periplasmic space, cell wall, and outer membrane if present. (Gene Ontology).",GO:0030313,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7949,Cell junction,"A cellular component that forms a specialized region of connection between two or more cells or between a cell and the extracellular matrix. At a cell junction, anchoring proteins extend through the plasma membrane to link cytoskeletal proteins in one cell to cytoskeletal proteins in neighboring cells or to proteins in the extracellular matrix. (Gene Ontology).",GO:0030054,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7950,Cell projection,"A prolongation or process extending from a cell, e.g. a flagellum or axon. (Gene Ontology).",GO:0042995,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7951,Cell surface,The external part of the cell wall and/or plasma membrane. (Gene Ontology).,GO:0009986,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7952,Centriole,"A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle. (Gene Ontology).",GO:0005814,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7953,Centromere,"OBSOLETE. The region of a eukaryotic chromosome that is attached to the spindle during nuclear division. It is defined genetically as the region of the chromosome that always segregates at the first division of meiosis; the region of the chromosome in which no crossing over occurs. At the start of M phase, each chromosome consists of two sister chromatids with a constriction at a point which forms the centromere. During late prophase two kinetochores assemble on each centromere, one kinetochore on each sister chromatid. (Gene Ontology).",GO:0005698,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7954,Centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle. (Gene Ontology).",GO:0005813,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7955,Chromaffin granule lumen,The volume enclosed by the membrane of a chromaffin granule. (Gene Ontology).,GO:0034466,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7956,Chromaffin granule membrane,"The lipid bilayer surrounding a chromaffin granule, a specialized secretory vesicle found in the cells of adrenal glands and various other organs, which is concerned with the synthesis, storage, metabolism, and secretion of epinephrine and norepinephrine. (Gene Ontology).",GO:0042584,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7957,Chromosome,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information. (Gene Ontology).,GO:0005694,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7958,Cilium,"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body. (Gene Ontology).",GO:0005929,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7959,Cilium axoneme,The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements. (Gene Ontology).,GO:0005930,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7960,Cilium basal body,"A membrane-tethered, short cylindrical array of microtubules and associated proteins found at the base of a eukaryotic cilium (also called flagellum) that is similar in structure to a centriole and derives from it. The cilium basal body is the site of assembly and remodelling of the cilium and serves as a nucleation site for axoneme growth. As well as anchoring the cilium, it is thought to provide a selective gateway regulating the entry of ciliary proteins and vesicles by intraflagellar transport. (Gene Ontology).",GO:0036064,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7961,Cis-golgi network,"The network of interconnected tubular and cisternal structures located at the convex side of the Golgi apparatus, which abuts the endoplasmic reticulum. (Gene Ontology).",GO:0005801,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7962,Clathrin-coated pit,"A part of the endomembrane system in the form of an invagination of a membrane upon which a clathrin coat forms, and that can be converted by vesicle budding into a clathrin-coated vesicle. Coated pits form on the plasma membrane, where they are involved in receptor-mediated selective transport of many proteins and other macromolecules across the cell membrane, in the trans-Golgi network, and on some endosomes. (Gene Ontology).",GO:0005905,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7963,Cleavage furrow,The cleavage furrow is a plasma membrane invagination at the cell division site. The cleavage furrow begins as a shallow groove and eventually deepens to divide the cytoplasm. (Gene Ontology).,GO:0032154,,,Hasan,7730,4,2018-02-26 21:06:29 UTC,2018-04-07 00:25:32 UTC,
7964,Cytoplasm,The portion of the cell contained within the plasma membrane but excluding the nucleus.,C13226,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:23 UTC,
7965,Cytoplasmic granule,A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress. (Gene Ontology).,GO:0010494,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7966,Cytoplasmic vesicle,A vesicle found in the cytoplasm of a cell. (Gene Ontology).,GO:0031410,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7967,Cytoplasmic vesicle lumen,The volume enclosed by a cytoplasmic vesicle. (Gene Ontology).,GO:0060205,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7968,Cytoplasmic vesicle membrane,The lipid bilayer surrounding a cytoplasmic vesicle. (Gene Ontology).,GO:0030659,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7969,Cytoskeleton,"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles. (Gene Ontology).",GO:0005856,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7970,Cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes",GO:0005829,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7971,Dendritic spine,"A small, membranous protrusion from a dendrite that forms a postsynaptic compartment - typically receiving input from a single presynapse.  They function as partially isolated biochemical and an electrical compartments. Spine morphology is variable including ""thin"", ""stubby"", ""mushroom"", and ""branched"", with a continuum of intermediate morphologies. They typically terminate in a bulb shape, linked to the dendritic shaft by a restriction. Spine remodeling is though to be involved in synaptic plasticity. (Gene Ontology).",GO:0043197,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7972,Early endosome,A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. (Gene Ontology).,GO:0005769,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7973,Early endosome membrane,The lipid bilayer surrounding an early endosome. (Gene Ontology).,GO:0031901,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7974,Endomembrane system,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles. (Gene Ontology).",GO:0012505,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7975,Endoplasmic reticulum,"A network of tubular membranes within the cytoplasm of the cell, occurring either with a smooth surface (smooth endoplasmic reticulum) or studded with ribosomes (rough endoplasmic reticulum), involved in the transport of materials. (Infoplease Dictionary via NCI)",C13230,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:29 UTC,
7976,Endoplasmic reticulum lumen,The volume enclosed by the membranes of the host cell endoplasmic reticulum. (Gene Ontology).,GO:0044166,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:32 UTC,
7977,Endoplasmic reticulum membrane,The lipid bilayer surrounding the host cell endoplasmic reticulum. (Gene Ontology).,GO:0044167,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7978,Endoplasmic reticulum-golgi intermediate compartment,"A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport. (Gene Ontology).",GO:0005793,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7979,Endosome,A membrane bound cytoplasmic compartment that drives molecular traffic between the plasma membrane and lysosome.,C32519,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:23 UTC,
7980,Endosome membrane,A lipid bilayer enclosing an endosomal compartment.,C33079,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:23 UTC,
7981,Membrane,,,gene ontology,,Ana,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:06:30 UTC,
7982,Extracellular,The space external to the outermost structure of a cell.,GO:0005576,,,Naama,7732,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7983,Extracellular matrix,"A network of fibers that hold cells together. It is found within the extracellular space and in association with the basement membrane of the cell surface. It promotes cellular proliferation and provides a supporting structure to which cells or cell lysates in culture dishes adhere. It is broken down during normal physiological and disease processes such as bone remodeling, embryogenesis, cancer, and arthritis. (NCI Thesaurus)",C13232; GO:0031012,,,Naama,7732,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7984,Extracellular space,"Part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.",GO:0005615,,,Naama,7732,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7985,Extra-organism,,,,,Yannick,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:24 UTC,
7986,Filopodium,"Thin, stiff, actin-based protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal or dendritic growth cone, or a dendritic shaft. (Gene Ontology).",GO:0030175,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7987,Flagellum,"Long whiplike or feathery structures borne either singly or in groups by the motile cells of many bacteria and unicellular eukaryotes and by the motile male gametes of many eukaryotic organisms, which propel the cell through a liquid medium. (Gene Ontology, OBSOLETE).",GO:0019861,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:34 UTC,
7988,Focal adhesion,Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. (Gene Ontology).,GO:0005925,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7989,Gem,"Gems are nuclear bodies, often found paired or juxtaposed to Cajal bodies, called gems for ""gemini of CBs"". It is not clear if Cajal bodes and gems are distinct nuclear bodies or if they should be considered as two manifestations of the same structure. (Uniprot).",SL-0127,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7990,Golgi,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. Note that the Golgi apparatus can be located in various places in the cytoplasm. ",GO:0005794,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7991,Golgi apparatus lumen,"The volume enclosed by the membranes of any cisterna or subcompartment of the Golgi apparatus, including the cis- and trans-Golgi networks. (Gene Ontology).",GO:0005796,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7992,Golgi stack membrane,The lipid bilayer surrounding any of the compartments of the Golgi apparatus. (Gene Ontology).,GO:0000139,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7993,Kinetochore,A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules. (Gene Ontology).,GO:0000776,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7994,Lamellipodium,A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments. (Gene Ontology).,GO:0030027,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7995,Lamellipodium membrane,The portion of the plasma membrane surrounding a lamellipodium. (Gene Ontology).,GO:0031258,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7996,Late endosome,"A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center. (Gene Ontology).",GO:0005770,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7997,Late endosome membrane,The lipid bilayer surrounding a late endosome. (Gene Ontology).,GO:0031902,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
7998,Lysosome,В A sac-like compartment inside a cell that has enzymes that can break down cellular components that need to be destroyed. (NCI).,C13253,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
7999,Lysosome lumen,The area within the membrane of a lysosome. (NCI).,C33017,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
8000,Lysosome membrane,A lipid bilayer that encloses a lysosome. (NCI),C33081,,,Naama,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:30 UTC,
8001,Melanosome,"A tissue-specific, membrane-bounded cytoplasmic organelle within which melanin pigments are synthesized and stored. Melanosomes are synthesized in melanocyte cells. (Gene Ontology).",GO:0042470,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8002,Melanosome membrane,The lipid bilayer surrounding a melanosome. (Gene Ontology).,GO:0033162,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8003,Membrane proteins,,,,,Yannick,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:28 UTC,
8004,Membrane raft,"Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions. (Gene Ontology).",GO:0045121,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8005,Microsome,"Any of the small, heterogeneous, artifactual, vesicular particles, 50-150 nm in diameter, that are formed when some eukaryotic cells are homogenized and that sediment on centrifugation at 100000 g. (Gene Ontology, OBSOLETE).",GO:0005792,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:34 UTC,
8006,Microsome membrane,The membrane surrounding the microsome. (Uniprot).,SL-0165,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8007,Microsomes,,,,,Yannick,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:07:28 UTC,
8008,Microvillus membrane,The portion of the plasma membrane surrounding a microvillus. (Gene Ontology).,GO:0031528,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8009,Midbody,"A thin cytoplasmic bridge formed between daughter cells at the end of cytokinesis. The midbody forms where the contractile ring constricts, and may persist for some time before finally breaking to complete cytokinesis. (Gene Ontology).",GO:0030496,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8010,Mitochondria,,,gene ontology,,Yannick,7730,4,2018-02-26 21:06:30 UTC,2018-02-26 21:06:30 UTC,
8011,Mitochondrion intermembrane space,The region between the inner and outer lipid bilayers of the mitochondrial envelope. (Gene Ontology).,GO:0005758,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8012,Mitochondrion matrix,"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation. (Gene Ontology).",GO:0005759,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8013,Mitochondrion nucleoid,The region of a mitochondrion to which the DNA is confined. (Gene Ontology).,GO:0042645,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8014,Mitochondrion outer membrane,"The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope. (Gene Ontology).",GO:0005741,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8015,Multivesicular body,A type of endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm. (Gene Ontology).,GO:0005771,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:33 UTC,
8016,Myofibril,"The contractile element of skeletal and cardiac muscle cells; a long, highly organized bundle of actin, myosin, and other proteins that constructs a myocyte and contracts by a sliding filament mechanism.",GO:0030016,,,Hasan,7730,4,2018-02-26 21:06:30 UTC,2018-04-07 00:25:34 UTC,
